bos,20160428,atl,8.5
chn,20160428,mil,6.5
det,20160428,oak,8.5
lan,20160428,mia,6.5
was,20160428,phi,7.5
ari,20160429,col,8.5
bal,20160429,cha,9
bos,20160429,nya,7.5
chn,20160429,atl,7
lan,20160429,sdn,7.5
mil,20160429,mia,8.5
min,20160429,det,8.5
nyn,20160429,sfn,7
oak,20160429,hou,7.5
phi,20160429,cle,7
pit,20160429,cin,7.5
sea,20160429,kca,7
sln,20160429,was,7
tba,20160429,tor,7.5
tex,20160429,ana,9
ari,20160430,col,8.5
bal,20160430,cha,8
bos,20160430,nya,8
lan,20160430,sdn,7.5
mil,20160430,mia,9
min,20160430,det,8
nyn,20160430,sfn,7
oak,20160430,hou,8.5
phi,20160430,cle,7.5
pit,20160430,cin,7
sea,20160430,kca,7
sln,20160430,was,7
tba,20160430,tor,7.5
tex,20160430,ana,9
ari,20160501,col,9
bal,20160501,cha,7.5
bos,20160501,nya,7
chn,20160501,atl,6.5
lan,20160501,sdn,6.5
mil,20160501,mia,9
min,20160501,det,8.5
nyn,20160501,sfn,6.5
oak,20160501,hou,8.5
phi,20160501,cle,7
pit,20160501,cin,8.5
sea,20160501,kca,7.5
sln,20160501,was,7
tba,20160501,tor,7.5
tex,20160501,ana,8.5
cin,20160502,sfn,8
hou,20160502,min,8
kca,20160502,was,7.5
mil,20160502,ana,9
nyn,20160502,atl,7
oak,20160502,sea,7.5
pit,20160502,chn,7
sdn,20160502,col,7
sln,20160502,phi,7.5
tor,20160502,tex,9
bal,20160503,nya,8
cha,20160503,bos,7.5
cin,20160503,sfn,8.5
cle,20160503,det,8
hou,20160503,min,8.5
kca,20160503,was,7.5
mia,20160503,ari,8.5
mil,20160503,ana,9
nyn,20160503,atl,7
oak,20160503,sea,7.5
pit,20160503,chn,7.5
sdn,20160503,col,7.5
sln,20160503,phi,7
tba,20160503,lan,8
tor,20160503,tex,9
bal,20160504,nya,8.5
cha,20160504,bos,8
cin,20160504,sfn,8.5
cle,20160504,det,7.5
hou,20160504,min,8.5
kca,20160504,was,7.5
mia,20160504,ari,7.5
mil,20160504,ana,9
nyn,20160504,atl,7
oak,20160504,sea,7.5
pit,20160504,chn,7.5
sdn,20160504,col,7.5
sln,20160504,phi,7.5
tba,20160504,lan,7
tor,20160504,tex,9
